School,Location
University of Wisconsin - River Falls,"River Falls, WI"
University of Wisconsin-Milwaukee,"Milwaukee, WI"
University of Wisconsin-Stout,"Menomonie, WI"
University of Wisconsin-Whitewater,"Whitewater, WI"
Upper Iowa University,"Fayette, IA"
Ursinus College,"Collegeville, PA"
Ursuline College,"Pepper Pike, OH"
Villa Maria College,"Buffalo, NY"
Virginia Military Institute,"Lexington, VA"
Viterbo University,"La Crosse, WI"
Wabash College,"Crawfordsville, IN"
Wake Technical Community College,"Raleigh, NC"
Walsh University,"North Canton, OH"
Wartburg College,"Waverly, IA"
Washington & Jefferson College,"Washington, PA"
Washington College,"Chestertown, MD"
Webber International University,"Babson Park, FL"
Webster University,"St. Louis, MO"
Wellesley College,"Wellesley, MA"
Western New England University,"Springfield, MA"
Western Oregon University,"Monmouth, OR"
Westminster University (Utah),"Salt Lake City, UT"
Westmont College,"Santa Barbara, CA"
"Wheaton College, Massachusetts","Norton, MA"
Wilkes University,"Wilkes-Barre, PA"
Wingate University,"Wingate, NC"
Wittenberg University,"Springfield, OH"
Wofford College,"Spartanburg, SC"
York College of Pennsylvania,"York, PA"
Zane State College,"Zanesville, OH"
